epoch,lr,train_loss,val_loss,dice_0,cls_acc,cls_auc,epoch_time_s,new_best,best_metric
216,0.00166,-0.0766,0.0854,0.9024,0.6863,0.7507,28.56,,
217,0.00162,-0.0366,0.3513,0.9002,0.4314,0.69,29.02,,
218,0.00157,-0.0496,0.153,0.8972,0.598,0.7612,28.82,,
219,0.00153,-0.0477,0.3151,0.9143,0.5392,0.7164,28.66,,
220,0.00148,-0.0653,0.2663,0.8972,0.5392,0.7466,28.98,,
221,0.00144,-0.0683,0.2215,0.9223,0.5784,0.7978,28.61,,
222,0.00139,-0.0538,-0.0298,0.9247,0.7843,0.8317,29.13,,
223,0.00135,-0.0737,0.6492,0.9141,0.4314,0.6854,28.48,,
224,0.0013,-0.0499,0.1495,0.9132,0.6275,0.7822,28.4,,
225,0.00126,-0.0265,0.0095,0.8966,0.7255,0.8085,29.18,,
226,0.00121,-0.0559,0.0796,0.9088,0.6667,0.8102,28.54,,
227,0.00117,-0.0846,0.14,0.9257,0.6373,0.754,28.5,,
228,0.00112,-0.0836,0.1826,0.9139,0.6667,0.7965,28.84,,
229,0.00108,-0.0548,0.3272,0.9258,0.4804,0.7275,28.77,,
230,0.00103,-0.0536,0.0538,0.9091,0.6471,0.7951,29.69,,
231,0.00098,-0.0888,0.0853,0.927,0.6275,0.7733,29.57,,
232,0.00094,-0.0736,0.1087,0.9275,0.6373,0.8194,28.84,,
233,0.00089,-0.0993,0.1694,0.9194,0.6275,0.7587,29.19,,
234,0.00084,-0.0739,-0.0796,0.9146,0.7647,0.9093,28.74,yes,1.8236000537872314
235,0.00079,-0.09,0.1541,0.9233,0.5784,0.7043,28.92,,
236,0.00075,-0.0716,0.184,0.91,0.6275,0.8077,28.65,,
237,0.0007,-0.0743,0.5709,0.8893,0.4216,0.7105,28.61,,
238,0.00065,-0.0501,0.022,0.9273,0.6765,0.7774,28.97,,
239,0.0006,-0.09,-0.0239,0.9248,0.7549,0.8555,28.71,,
240,0.00055,-0.148,0.0887,0.9127,0.6961,0.7927,28.79,,
241,0.0005,-0.0749,0.0647,0.9318,0.7255,0.7532,28.44,,
242,0.00045,-0.1152,0.0949,0.9076,0.7353,0.837,28.65,,
243,0.0004,-0.0792,0.2001,0.9094,0.598,0.7752,28.47,,
244,0.00035,-0.1099,0.1412,0.9176,0.6765,0.7149,28.86,,
245,0.0003,-0.0871,0.0343,0.9363,0.7157,0.8464,29.02,,
246,0.00024,-0.0943,0.103,0.9238,0.6078,0.8174,29.4,,
247,0.00019,-0.1091,0.1508,0.9215,0.5784,0.7918,28.75,,
248,0.00013,-0.1406,0.2008,0.9124,0.6471,0.7069,28.82,,
249,7e-05,-0.1431,0.073,0.9132,0.6569,0.7853,29.46,,
